"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Brilliant III Ultra Fast SYBR GReen 2022-04-20 (1).rex"
"Date","20/04/2022"
"Time","11:06:59"

"Operator",""
"Run Id",""
"Notes",""
"Machine Serial No","0717122"

"Channel","Gain"
"Green","8"
"Yellow","10"

"Channel","Threshold"
"Cycling A.Green (ActB_sre61-62)","0.1"
"Cycling A.Green (RP9P_om368-369)","0.1"
"Cycling A.Green (SMG5_sre237-238)","0.1"
"Cycling A.Green (SMG5endo_om507-508)","0.1"
"Melt A.Green (ActB_sre61-62)","0"
"Melt A.Green (RP9P_om368-369)","0"
"Melt A.Green (SMG5_sre237-238)","0"
"Melt A.Green (SMG5endo_om507-508)","0"

"Quantitative analysis of Cycling A.Green (ActB_sre61-62)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies/µL)","Calc Conc (Copies/µL)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","14211288","NTC-GFP","Unknown","12.54","","","","","12.53","0.02","","",""
"2","14211288","NTC-GFP","Unknown","12.52","","","","","","","","",""
"3","5855577","NTC-SMG5","Unknown","11.95","","","","","11.93","0.04","","",""
"4","5855577","NTC-SMG5","Unknown","11.90","","","","","","","","",""
"5","11631955","SMG5-GFP","Unknown","12.30","","","","","12.28","0.02","","",""
"6","11631955","SMG5-GFP","Unknown","12.26","","","","","","","","",""
"7","8488180","SMG5-WT","Unknown","12.07","","","","","12.14","0.10","","",""
"8","8488180","SMG5-WT","Unknown","12.21","","","","","","","","",""
"9","14063796","SMG5-S3xA","Unknown","12.35","","","","","12.37","0.02","","",""
"10","14063796","SMG5-S3xA","Unknown","12.38","","","","","","","","",""
"11","6373706","RT- NTC-GFP","Unknown","34.94","","","","","34.94","","","",""
"12","9517309","RT- NTC-SMG5","Unknown","","","","","","","","","",""
"13","10801479","RT- SMG5-GFP","Unknown","31.68","","","","","31.68","","","",""
"14","14333609","RT- SMG5-WT","Unknown","32.17","","","","","32.17","","","",""
"15","4748311","RT- SMG5-S3xA","Unknown","35.00","","","","","35.00","","","",""
"16","16711680","H2O","Unknown","34.68","","","","","34.68","","","",""



"Quantitative analysis of Cycling A.Green (RP9P_om368-369)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies/µL)","Calc Conc (Copies/µL)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","14211288","NTC-GFP","Unknown","12.54","","","","","12.53","0.02","","",""
"2","14211288","NTC-GFP","Unknown","12.52","","","","","","","","",""
"3","5855577","NTC-SMG5","Unknown","11.95","","","","","11.93","0.04","","",""
"4","5855577","NTC-SMG5","Unknown","11.90","","","","","","","","",""
"5","11631955","SMG5-GFP","Unknown","12.30","","","","","12.28","0.02","","",""
"6","11631955","SMG5-GFP","Unknown","12.26","","","","","","","","",""
"7","8488180","SMG5-WT","Unknown","12.07","","","","","12.14","0.10","","",""
"8","8488180","SMG5-WT","Unknown","12.21","","","","","","","","",""
"9","14063796","SMG5-S3xA","Unknown","12.35","","","","","12.37","0.02","","",""
"10","14063796","SMG5-S3xA","Unknown","12.38","","","","","","","","",""
"11","6373706","RT- NTC-GFP","Unknown","34.94","","","","","34.94","","","",""
"12","9517309","RT- NTC-SMG5","Unknown","","","","","","","","","",""
"13","10801479","RT- SMG5-GFP","Unknown","31.68","","","","","31.68","","","",""
"14","14333609","RT- SMG5-WT","Unknown","32.17","","","","","32.17","","","",""
"15","4748311","RT- SMG5-S3xA","Unknown","35.00","","","","","35.00","","","",""
"16","16711680","H2O","Unknown","34.68","","","","","34.68","","","",""



"Quantitative analysis of Cycling A.Green (SMG5_sre237-238)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies/µL)","Calc Conc (Copies/µL)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","14211288","NTC-GFP","Unknown","12.54","","","","","12.53","0.02","","",""
"2","14211288","NTC-GFP","Unknown","12.52","","","","","","","","",""
"3","5855577","NTC-SMG5","Unknown","11.95","","","","","11.93","0.04","","",""
"4","5855577","NTC-SMG5","Unknown","11.90","","","","","","","","",""
"5","11631955","SMG5-GFP","Unknown","12.30","","","","","12.28","0.02","","",""
"6","11631955","SMG5-GFP","Unknown","12.26","","","","","","","","",""
"7","8488180","SMG5-WT","Unknown","12.07","","","","","12.14","0.10","","",""
"8","8488180","SMG5-WT","Unknown","12.21","","","","","","","","",""
"9","14063796","SMG5-S3xA","Unknown","12.35","","","","","12.37","0.02","","",""
"10","14063796","SMG5-S3xA","Unknown","12.38","","","","","","","","",""
"11","6373706","RT- NTC-GFP","Unknown","34.94","","","","","34.94","","","",""
"12","9517309","RT- NTC-SMG5","Unknown","","","","","","","","","",""
"13","10801479","RT- SMG5-GFP","Unknown","31.68","","","","","31.68","","","",""
