"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Brilliant III Ultra Fast SYBR GReen 2022-04-20 (1).rex"
"Date","20/04/2022"
"Time","12:25:52"

"Operator",""
"Run Id",""
"Notes",""
"Machine Serial No","0717122"

"Channel","Gain"
"Green","8"
"Yellow","10"

"Channel","Threshold"
"Cycling A.Green (hnRNP L_LC50-51)","0.1"
"Cycling A.Green (hnRNP L_NMD_LC47-52)","0.1"
"Cycling A.Green (TRA2B_LC54-42)","0.1"
"Cycling A.Green (TRA2B_NMD_LC43-55)","0.1"
"Melt A.Green (hnRNP L_LC50-51)","0"
"Melt A.Green (hnRNP L_NMD_LC47-52)","0"
"Melt A.Green (TRA2B_LC54-42)","0"
"Melt A.Green (TRA2B_NMD_LC43-55)","0"

"Quantitative analysis of Cycling A.Green (hnRNP L_LC50-51)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies/µL)","Calc Conc (Copies/µL)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","14211288","NTC-GFP","Unknown","20.00","","","","","20.01","0.02","","",""
"2","14211288","NTC-GFP","Unknown","20.02","","","","","","","","",""
"3","5855577","NTC-SMG5","Unknown","19.33","","","","","19.35","0.03","","",""
"4","5855577","NTC-SMG5","Unknown","19.38","","","","","","","","",""
"5","11631955","SMG5-GFP","Unknown","19.75","","","","","19.78","0.04","","",""
"6","11631955","SMG5-GFP","Unknown","19.81","","","","","","","","",""
"7","8488180","SMG5-WT","Unknown","19.90","","","","","19.92","0.03","","",""
"8","8488180","SMG5-WT","Unknown","19.94","","","","","","","","",""
"9","14063796","SMG5-S3xA","Unknown","19.76","","","","","19.82","0.09","","",""
"10","14063796","SMG5-S3xA","Unknown","19.88","","","","","","","","",""
"11","6373706","RT- NTC-GFP","Unknown","","","","","","","","","",""
"12","9517309","RT- NTC-SMG5","Unknown","37.88","","","","","37.88","","","",""
"13","10801479","RT- SMG5-GFP","Unknown","","","","","","","","","",""
"14","14333609","RT- SMG5-WT","Unknown","38.35","","","","","38.35","","","",""
"15","4748311","RT- SMG5-S3xA","Unknown","30.70","","","","","30.70","","","",""
"16","16711680","H2O","Unknown","30.02","","","","","30.02","","","",""



"Quantitative analysis of Cycling A.Green (hnRNP L_NMD_LC47-52)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies/µL)","Calc Conc (Copies/µL)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","14211288","NTC-GFP","Unknown","20.00","","","","","20.01","0.02","","",""
"2","14211288","NTC-GFP","Unknown","20.02","","","","","","","","",""
"3","5855577","NTC-SMG5","Unknown","19.33","","","","","19.35","0.03","","",""
"4","5855577","NTC-SMG5","Unknown","19.38","","","","","","","","",""
"5","11631955","SMG5-GFP","Unknown","19.75","","","","","19.78","0.04","","",""
"6","11631955","SMG5-GFP","Unknown","19.81","","","","","","","","",""
"7","8488180","SMG5-WT","Unknown","19.90","","","","","19.92","0.03","","",""
"8","8488180","SMG5-WT","Unknown","19.94","","","","","","","","",""
"9","14063796","SMG5-S3xA","Unknown","19.76","","","","","19.82","0.09","","",""
"10","14063796","SMG5-S3xA","Unknown","19.88","","","","","","","","",""
"11","6373706","RT- NTC-GFP","Unknown","","","","","","","","","",""
"12","9517309","RT- NTC-SMG5","Unknown","37.88","","","","","37.88","","","",""
"13","10801479","RT- SMG5-GFP","Unknown","","","","","","","","","",""
"14","14333609","RT- SMG5-WT","Unknown","38.35","","","","","38.35","","","",""
"15","4748311","RT- SMG5-S3xA","Unknown","30.70","","","","","30.70","","","",""
"16","16711680","H2O","Unknown","30.02","","","","","30.02","","","",""



"Quantitative analysis of Cycling A.Green (TRA2B_LC54-42)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies/µL)","Calc Conc (Copies/µL)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","14211288","NTC-GFP","Unknown","20.00","","","","","20.01","0.02","","",""
"2","14211288","NTC-GFP","Unknown","20.02","","","","","","","","",""
"3","5855577","NTC-SMG5","Unknown","19.33","","","","","19.35","0.03","","",""
"4","5855577","NTC-SMG5","Unknown","19.38","","","","","","","","",""
"5","11631955","SMG5-GFP","Unknown","19.75","","","","","19.78","0.04","","",""
"6","11631955","SMG5-GFP","Unknown","19.81","","","","","","","","",""
"7","8488180","SMG5-WT","Unknown","19.90","","","","","19.92","0.03","","",""
"8","8488180","SMG5-WT","Unknown","19.94","","","","","","","","",""
"9","14063796","SMG5-S3xA","Unknown","19.76","","","","","19.82","0.09","","",""
"10","14063796","SMG5-S3xA","Unknown","19.88","","","","","","","","",""
"11","6373706","RT- NTC-GFP","Unknown","","","","","","","","","",""
"12","9517309","RT- NTC-SMG5","Unknown","37.88","","","","","37.88","","","",""
"13","10801479","RT- SMG5-GFP","Unknown","","","","","","","","","",""
"14","14333609","RT- SMG5-WT","Unknown","38.35","","","","","38.35","","","",""
"15","4748311","RT- SMG5-S3xA","Unknown","30.70","","","","","30.70","","","",""
"16","16711680","H2O","Unknown","30.02","","","","","30.02","","","",""



"Quantitative analysis of Cycling A.Green (TRA2B_NMD_LC43-55)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies/µL)","Calc Conc (Copies/µL)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","14211288","NTC-GFP","Unknown","20.00","","","","","20.01","0.02","","",""
"2","14211288","NTC-GFP","Unknown","20.02","","","","","","","","",""
"3","5855577","NTC-SMG5","Unknown","19.33","","","","","19.35","0.03","","",""
"4","5855577","NTC-SMG5","Unknown","19.38","","","","","","","","",""
"5","11631955","SMG5-GFP","Unknown","19.75","","","","","19.78","0.04","","",""
"6","11631955","SMG5-GFP","Unknown","19.81","","","","","","","","",""
"7","8488180","SMG5-WT","Unknown","19.90","","","","","19.92","0.03","","",""
"8","8488180","SMG5-WT","Unknown","19.94","","","","","","","","",""
"9","14063796","SMG5-S3xA","Unknown","19.76","","","","","19.82","0.09","","",""
"10","14063796","SMG5-S3xA","Unknown","19.88","","","","","","","","",""
"11","6373706","RT- NTC-GFP","Unknown","","","","","","","","","",""
"12","9517309","RT- NTC-SMG5","Unknown","37.88","","","","","37.88","","","",""
"13","10801479","RT- SMG5-GFP","Unknown","","","","","","","","","",""
